encode_accession	knockdown	cell_line	control	prefix	group	sj
ENCSR939BTN	SRSF4	K562	ENCSR005JBU	ENCSR939BTN.rep1	ENCSR939BTN.rep1	/mnt/isilon/bhoj_lab/users/aicherj/rna-pipeline/output/ENCSR939BTN.rep1/nm_sj/ENCSR939BTN.rep1.sj
ENCSR929JKA	SRSF4	HepG2	ENCSR805TIZ	ENCSR929JKA.rep1	ENCSR929JKA.rep1	/mnt/isilon/bhoj_lab/users/aicherj/rna-pipeline/output/ENCSR929JKA.rep1/nm_sj/ENCSR929JKA.rep1.sj
ENCSR471INA	SRSF4	HepG2	ENCSR853AOV	ENCSR471INA.rep1	ENCSR471INA.rep1	/mnt/isilon/bhoj_lab/users/aicherj/rna-pipeline/output/ENCSR471INA.rep1/nm_sj/ENCSR471INA.rep1.sj
ENCSR905NIK	SRSF4	K562	ENCSR772DUM	ENCSR905NIK.rep1	ENCSR905NIK.rep1	/mnt/isilon/bhoj_lab/users/aicherj/rna-pipeline/output/ENCSR905NIK.rep1/nm_sj/ENCSR905NIK.rep1.sj
ENCSR939BTN	SRSF4	K562	ENCSR005JBU	ENCSR939BTN.rep2	ENCSR939BTN.rep2	/mnt/isilon/bhoj_lab/users/aicherj/rna-pipeline/output/ENCSR939BTN.rep2/nm_sj/ENCSR939BTN.rep2.sj
ENCSR929JKA	SRSF4	HepG2	ENCSR805TIZ	ENCSR929JKA.rep2	ENCSR929JKA.rep2	/mnt/isilon/bhoj_lab/users/aicherj/rna-pipeline/output/ENCSR929JKA.rep2/nm_sj/ENCSR929JKA.rep2.sj
ENCSR471INA	SRSF4	HepG2	ENCSR853AOV	ENCSR471INA.rep2	ENCSR471INA.rep2	/mnt/isilon/bhoj_lab/users/aicherj/rna-pipeline/output/ENCSR471INA.rep2/nm_sj/ENCSR471INA.rep2.sj
ENCSR905NIK	SRSF4	K562	ENCSR772DUM	ENCSR905NIK.rep2	ENCSR905NIK.rep2	/mnt/isilon/bhoj_lab/users/aicherj/rna-pipeline/output/ENCSR905NIK.rep2/nm_sj/ENCSR905NIK.rep2.sj
ENCSR805TIZ	notarget	HepG2	ENCSR805TIZ	ENCSR805TIZ.rep1	ENCSR805TIZ.rep1	/mnt/isilon/bhoj_lab/users/aicherj/rna-pipeline/output/ENCSR805TIZ.rep1/nm_sj/ENCSR805TIZ.rep1.sj
ENCSR853AOV	notarget	HepG2	ENCSR853AOV	ENCSR853AOV.rep1	ENCSR853AOV.rep1	/mnt/isilon/bhoj_lab/users/aicherj/rna-pipeline/output/ENCSR853AOV.rep1/nm_sj/ENCSR853AOV.rep1.sj
ENCSR772DUM	notarget	K562	ENCSR772DUM	ENCSR772DUM.rep1	ENCSR772DUM.rep1	/mnt/isilon/bhoj_lab/users/aicherj/rna-pipeline/output/ENCSR772DUM.rep1/nm_sj/ENCSR772DUM.rep1.sj
ENCSR005JBU	notarget	K562	ENCSR005JBU	ENCSR005JBU.rep2	ENCSR005JBU.rep2	/mnt/isilon/bhoj_lab/users/aicherj/rna-pipeline/output/ENCSR005JBU.rep2/nm_sj/ENCSR005JBU.rep2.sj
ENCSR805TIZ	notarget	HepG2	ENCSR805TIZ	ENCSR805TIZ.rep2	ENCSR805TIZ.rep2	/mnt/isilon/bhoj_lab/users/aicherj/rna-pipeline/output/ENCSR805TIZ.rep2/nm_sj/ENCSR805TIZ.rep2.sj
ENCSR853AOV	notarget	HepG2	ENCSR853AOV	ENCSR853AOV.rep2	ENCSR853AOV.rep2	/mnt/isilon/bhoj_lab/users/aicherj/rna-pipeline/output/ENCSR853AOV.rep2/nm_sj/ENCSR853AOV.rep2.sj
ENCSR772DUM	notarget	K562	ENCSR772DUM	ENCSR772DUM.rep2	ENCSR772DUM.rep2	/mnt/isilon/bhoj_lab/users/aicherj/rna-pipeline/output/ENCSR772DUM.rep2/nm_sj/ENCSR772DUM.rep2.sj
ENCSR015KGT	notarget	K562	ENCSR015KGT	ENCSR015KGT.rep1	ENCSR015KGT.rep1	/mnt/isilon/bhoj_lab/users/aicherj/rna-pipeline/output/ENCSR015KGT.rep1/nm_sj/ENCSR015KGT.rep1.sj
ENCSR163JUC	notarget	K562	ENCSR163JUC	ENCSR163JUC.rep2	ENCSR163JUC.rep2	/mnt/isilon/bhoj_lab/users/aicherj/rna-pipeline/output/ENCSR163JUC.rep2/nm_sj/ENCSR163JUC.rep2.sj
ENCSR105NML	notarget	HepG2	ENCSR105NML	ENCSR105NML.rep1	ENCSR105NML.rep1	/mnt/isilon/bhoj_lab/users/aicherj/rna-pipeline/output/ENCSR105NML.rep1/nm_sj/ENCSR105NML.rep1.sj
ENCSR194SPW	notarget	HepG2	ENCSR194SPW	ENCSR194SPW.rep2	ENCSR194SPW.rep2	/mnt/isilon/bhoj_lab/users/aicherj/rna-pipeline/output/ENCSR194SPW.rep2/nm_sj/ENCSR194SPW.rep2.sj
